id	filename	md5	size	state
489fe1a1-3b63-417f-883f-a8db190c7c78	TCGA-A7-A6VW-01Z-00-DX1.1BC4790C-DB45-4A3D-9C97-92C92C03FF60.svs	2638b0c7d844da8424089ac163ac618d	444160397	released
8fe218ac-8d95-467c-83d0-b78ca819cec7	TCGA-E9-A3QA-01Z-00-DX1.9D664AF3-9ABD-4EED-B826-4C4FBFC33F3E.svs	ea2e14830b483d4a5de2a639b23ec452	582810887	released
bac30596-e84e-4373-b584-a440ce08ee13	TCGA-DX-A23V-01Z-00-DX1.E7E5DAB8-EB00-44A2-91F1-2C660F624D1E.svs	1693bbea6805109419e29675ea29c6ff	1712503755	released
760ad494-e83e-4897-833c-4f3b9b049361	TCGA-B5-A3FD-01Z-00-DX1.2DD780C5-E07F-4F84-968B-3B1800BB7D7D.svs	1b80a1d67b3ec916071f7edc9edd23bd	2327307483	released
b8a5fd64-23d2-4261-9338-cb5b6df9b4db	TCGA-TM-A7CA-01Z-00-DX1.1CEBE1E1-7CBE-4F80-BAFC-828F7FA787B7.svs	e568f6a34c17662e898fea7e57481eeb	1181607617	released
6e1b44e9-94cc-455d-b5ec-b04d81f039c8	TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.svs	4efa9f41c27d658d4abb6852284dba67	733518108	released
4ba93e5e-28e0-4afd-a77b-99fd93d5fdd6	TCGA-CV-7413-01Z-00-DX1.683B81A0-15BF-48BD-B785-BD4F23ED3021.svs	a97800f09d0ef37f652d9d8a6b1bd48d	1027694517	released
5fbbae7a-98e3-4aa1-a31f-3898083affd0	TCGA-ZP-A9D4-01Z-00-DX1.306ADF14-E71A-4E44-BF28-F7733A1937EC.svs	008f34046da910d835e5922181372a2d	2587493493	released
e210b5e1-14a7-4b6f-b45b-ab2b8d3332e0	TCGA-E2-A1B6-01Z-00-DX1.8CD458BE-C4F9-4AF3-A927-18C042E9B4B7.svs	5267a9df338ef8160150fd9132d91df7	1139176677	released
c670cd77-139a-4372-9c05-966952cd083b	TCGA-VD-AA8M-01Z-00-DX1.AA194E33-B494-44E3-9C7C-29AA6A68393F.svs	93d5b3c3bdfd0b230a562a781c665856	422874208	released
60b7d8ef-d8cb-47d3-8f60-299c8c38cc69	TCGA-ET-A25G-01Z-00-DX1.379CE9E3-B8D5-4685-80F0-CF09389187B5.svs	527ad39070f80922bcaf140c21148714	2176040025	released
2e992ded-7812-414e-ac3b-04880d72db5d	TCGA-QR-A70P-01Z-00-DX1.F2C52E40-9CC8-4051-B5AB-56752F16DADD.svs	239cd9dda89ba5d37fbbf3f1104f7c1e	1318598403	released
